positive,negative,rating,comments,category
,"Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",3," Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",negativan
Nista najgore mjesto na koje sam ikad posjetio,"Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",1,"Nista najgore mjesto na koje sam ikad posjetio Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",negativan
Skoro nista,Mnogo toga ( odlucite se hotel ili bucna diskoteka ),1,Skoro nista Mnogo toga ( odlucite se hotel ili bucna diskoteka ),negativan
Samo prking,Kljma u hodniku i malo kupatilo,1,Samo prking Kljma u hodniku i malo kupatilo,negativan
,"Smeštaj smo rezervisali 10ak dana ranije i dogovorili se sa vlasnikom da ga pozovemo kada stignemo da nam preda ključeve. Kad smo stigli ispred smeštaja pozvali smo vlasnika da nam da ključ, ali nam je on saopštio da apartman nije slobodan, uz izmišljenu priču da je pukla cev, bez volje da nam  ponudi rešenje za svoj propust. Takođe, rekao je da je dan ranije poslao poruku da apartman neće biti slobodan, ali ta poruka nikada nije stigla. Zbog svega toga smo posumnjali u njegovu priču o cevi. Valjda je normalno da kada se tako nešto desi, pozoveš ljude, kažeš šta je problem i u znak izvinjenja pomogneš u pronalasku novog smeštaja. Vlasnik je očigledno izbegavao razgovor zbog svojih laži.",1," Smeštaj smo rezervisali 10ak dana ranije i dogovorili se sa vlasnikom da ga pozovemo kada stignemo da nam preda ključeve. Kad smo stigli ispred smeštaja pozvali smo vlasnika da nam da ključ, ali nam je on saopštio da apartman nije slobodan, uz izmišljenu priču da je pukla cev, bez volje da nam  ponudi rešenje za svoj propust. Takođe, rekao je da je dan ranije poslao poruku da apartman neće biti slobodan, ali ta poruka nikada nije stigla. Zbog svega toga smo posumnjali u njegovu priču o cevi. Valjda je normalno da kada se tako nešto desi, pozoveš ljude, kažeš šta je problem i u znak izvinjenja pomogneš u pronalasku novog smeštaja. Vlasnik je očigledno izbegavao razgovor zbog svojih laži.",negativan
Doručak je bio odličan i higijena hotela,"Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",3,"Doručak je bio odličan i higijena hotela Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",negativan
"Lokacija je ok , nije centar ali je ok.
Doručak prosječan.","Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade",2,"Lokacija je ok , nije centar ali je ok.
Doručak prosječan. Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade",negativan
Pub.,Sve ostalo.,1,Pub. Sve ostalo.,negativan
Dve devojke sa recepcije i bara bile su jako ljubazne,"Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok",3,"Dve devojke sa recepcije i bara bile su jako ljubazne Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok",negativan
,"Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",1," Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",negativan
