positive,negative,rating,comments,category
,"Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",1," Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",negativan
Lokacija je dobra,"Cena na na sajtu i vlasnikova se razlikovala ,jos je i dodatno naplatio parking u objektu.",2,"Lokacija je dobra Cena na na sajtu i vlasnikova se razlikovala ,jos je i dodatno naplatio parking u objektu.",negativan
Nista,"Neko nas je prevario ili Booking ili hotel , kad sam rezervisao sobu kao Genius korisnik pisalo 51 e , cim sam obavio rezervaciju izbacio je novi iznos 59 e ! A naplatili su mi iz hotela 63 e i to dan pre dolaska , prava lakrdija ! Napominjem da sam genius korisnik treci nivo i da 10 ak godina putujem preko  Bookinga i ovakvo menjanje cjena nisam nikad video , sreca da su mali iznosi jer sam rezervisao samo jednu noc ali sramota je varati svoje redovne korisnike usluga !",2,"Nista Neko nas je prevario ili Booking ili hotel , kad sam rezervisao sobu kao Genius korisnik pisalo 51 e , cim sam obavio rezervaciju izbacio je novi iznos 59 e ! A naplatili su mi iz hotela 63 e i to dan pre dolaska , prava lakrdija ! Napominjem da sam genius korisnik treci nivo i da 10 ak godina putujem preko  Bookinga i ovakvo menjanje cjena nisam nikad video , sreca da su mali iznosi jer sam rezervisao samo jednu noc ali sramota je varati svoje redovne korisnike usluga !",negativan
Nista specijalno,"Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",3,"Nista specijalno Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",negativan
"Lokacija perfektna, krevet preudoban..",Cistoca na jako losem nivou!,1,"Lokacija perfektna, krevet preudoban.. Cistoca na jako losem nivou!",negativan
Uredno,"U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",3,"Uredno U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",negativan
osoblje ljubazno,"cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",2,"osoblje ljubazno cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",negativan
"Me gustó la ubicación céntrica del hotel y el desayuno adecuado que ofrecían. Las habitaciones y el baño estaban también en línea con lo que esperaba para su categoría.

I liked the hotel’s central location and the decent breakfast they provided. The rooms and bathroom were also in line with what I expected for their category.

Допадла ми се централна локација хотела и прихватљив доручак који су нудили. Собе и купатило такође одговарају категорији.","Sin embargo, tuvimos un problema significativo en el segundo día de nuestra estancia. La temperatura de la habitación era incómoda, llegando a los 27 grados Celsius. La calefacción del hotel es central y cuando la encendieron, nuestro aparato de aire acondicionado producía un ruido fuerte y molesto que nos impidió dormir durante toda la noche. Dado que este problema no fue solucionado, nuestra evaluación general de la estancia es negativa.

However, we encountered a significant issue on the second day of our stay. The room temperature was uncomfortable, reaching 27 degrees Celsius. The hotel’s heating is centrally controlled, and when they activated it, our air conditioning unit produced a loud, disruptive noise that prevented us from sleeping throughout the night. Since this problem was not resolved, our overall assessment of the stay is negative.

Међутим, сусрели смо се са значајним проблемом другог дана нашег боравка. Температура у соби била је непријатних 27 степени Целзијуса. Грејање у хотелу је централно и када су га активирали, наш уређај за климатизацију је производио гласну и сметајућу буку која нас је спречила да спавамо целе ноћи. Пошто овај проблем није био решен, наше укупно оцењивање боравка је негативно.",3,"Me gustó la ubicación céntrica del hotel y el desayuno adecuado que ofrecían. Las habitaciones y el baño estaban también en línea con lo que esperaba para su categoría.

I liked the hotel’s central location and the decent breakfast they provided. The rooms and bathroom were also in line with what I expected for their category.

Допадла ми се централна локација хотела и прихватљив доручак који су нудили. Собе и купатило такође одговарају категорији. Sin embargo, tuvimos un problema significativo en el segundo día de nuestra estancia. La temperatura de la habitación era incómoda, llegando a los 27 grados Celsius. La calefacción del hotel es central y cuando la encendieron, nuestro aparato de aire acondicionado producía un ruido fuerte y molesto que nos impidió dormir durante toda la noche. Dado que este problema no fue solucionado, nuestra evaluación general de la estancia es negativa.

However, we encountered a significant issue on the second day of our stay. The room temperature was uncomfortable, reaching 27 degrees Celsius. The hotel’s heating is centrally controlled, and when they activated it, our air conditioning unit produced a loud, disruptive noise that prevented us from sleeping throughout the night. Since this problem was not resolved, our overall assessment of the stay is negative.

Међутим, сусрели смо се са значајним проблемом другог дана нашег боравка. Температура у соби била је непријатних 27 степени Целзијуса. Грејање у хотелу је централно и када су га активирали, наш уређај за климатизацију је производио гласну и сметајућу буку која нас је спречила да спавамо целе ноћи. Пошто овај проблем није био решен, наше укупно оцењивање боравка је негативно.",negativan
Jedino što je čisto,"Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",3,"Jedino što je čisto Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",negativan
Odlična lokacija i smeštaj.,Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,3,Odlična lokacija i smeštaj. Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,negativan
Lokacija,"Hladan, prljav",2,"Lokacija Hladan, prljav",negativan
"Apartman , cist i uredan , sve pohvale ..",Parking ! Kao prvo nije bezbjedan . Insistiraju da se parkirarate skroz do zida .. zaposlena nas je bukvalno maltretirala i vracala 3 puta da auto bude skroz do zida kako je ona zamislila . Pritom  umalo smo ostetili auto .. jer je parking u suterenu i ni malo nije bezbjedan ..,3,"Apartman , cist i uredan , sve pohvale .. Parking ! Kao prvo nije bezbjedan . Insistiraju da se parkirarate skroz do zida .. zaposlena nas je bukvalno maltretirala i vracala 3 puta da auto bude skroz do zida kako je ona zamislila . Pritom  umalo smo ostetili auto .. jer je parking u suterenu i ni malo nije bezbjedan ..",negativan
Nista najgore mjesto na koje sam ikad posjetio,"Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",1,"Nista najgore mjesto na koje sam ikad posjetio Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",negativan
