positive,negative,rating,comments,category
,"Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",3," Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",negativan
Doručak je bio odličan i higijena hotela,"Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",3,"Doručak je bio odličan i higijena hotela Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",negativan
,"Grejanje pomoću klime i grejalice. Prozori su stari, u kupatilu nisu mogli da se zatvore.",2," Grejanje pomoću klime i grejalice. Prozori su stari, u kupatilu nisu mogli da se zatvore.",negativan
,"Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",1," Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",negativan
Lokacija,"Ne mijenjaju peskire , ne dopunjavaju mini bar",3,"Lokacija Ne mijenjaju peskire , ne dopunjavaju mini bar",negativan
,Male.sobe sa losim internetom  a i u restoranu na meniu ima a kad trazimo da porucmo nema.nista .,2, Male.sobe sa losim internetom  a i u restoranu na meniu ima a kad trazimo da porucmo nema.nista .,negativan
osoblje ljubazno,"cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",2,"osoblje ljubazno cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",negativan
Gotovo nista.,"- WC solja je bila prljava i puna dlaka kada sam dosao. 
- Umesto bojlera, imaju neki grejac za vodu koji ne radi tako da tople vode i nema bas. 
- TV je minijaturan, gotovo da i ne moze da se vidi bilo sta na njemu sa kreveta. 
- Takodje, na sajtu pise da soba ima zvucnu izolaciju sto je apsolutno netacno - sve se cuje, od zveckanja kljuceva iz hodnika do ljudi koji se okupljaju u okolini hotela i deru se. Naravno, sve se cuje i izvan sobe. 
- Hotel se uvece zakljucava, a ljudi koji rade na recepciji nisu tu, vec morate da zovete broj i naravno da se neko nece javiti odmah ili doci istog trenutka, tako da smo se smrzavali 10 minuta ispred hotela nepotrebno (jer interfon ne radi). Ukoliko izadjete iz hotela i zaboravite telefon verovatno cete biti zarobljeni par sati ispred. 
- Cena je bar 3 puta veca nego sto soba stvarno vredi. Postoje mnogo bolje ponude u Leskovcu od ovog hotela, tako da, ako je moguce, najbolje je zaobici ovaj hotel potpuno.
- Soba je jako mala - cim udjete ispred vas je krevet sa jednim malim stolom na kom stoji jako mali monitor (TV).",3,"Gotovo nista. - WC solja je bila prljava i puna dlaka kada sam dosao. 
- Umesto bojlera, imaju neki grejac za vodu koji ne radi tako da tople vode i nema bas. 
- TV je minijaturan, gotovo da i ne moze da se vidi bilo sta na njemu sa kreveta. 
- Takodje, na sajtu pise da soba ima zvucnu izolaciju sto je apsolutno netacno - sve se cuje, od zveckanja kljuceva iz hodnika do ljudi koji se okupljaju u okolini hotela i deru se. Naravno, sve se cuje i izvan sobe. 
- Hotel se uvece zakljucava, a ljudi koji rade na recepciji nisu tu, vec morate da zovete broj i naravno da se neko nece javiti odmah ili doci istog trenutka, tako da smo se smrzavali 10 minuta ispred hotela nepotrebno (jer interfon ne radi). Ukoliko izadjete iz hotela i zaboravite telefon verovatno cete biti zarobljeni par sati ispred. 
- Cena je bar 3 puta veca nego sto soba stvarno vredi. Postoje mnogo bolje ponude u Leskovcu od ovog hotela, tako da, ako je moguce, najbolje je zaobici ovaj hotel potpuno.
- Soba je jako mala - cim udjete ispred vas je krevet sa jednim malim stolom na kom stoji jako mali monitor (TV).",negativan
Osoblje je uzasno ne preporucijemo nikome iskreno,Cena pise jedna a kad odes na recepciji sasvim druga,1,Osoblje je uzasno ne preporucijemo nikome iskreno Cena pise jedna a kad odes na recepciji sasvim druga,negativan
Lokacija,"Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",3,"Lokacija Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",negativan
Osoblje i velicina kompleksa,"Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",3,"Osoblje i velicina kompleksa Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",negativan
Lokacija objekta je super,"Neispravan bojler, nije bilo tople vode",3,"Lokacija objekta je super Neispravan bojler, nije bilo tople vode",negativan
Odlična lokacija i smeštaj.,Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,3,Odlična lokacija i smeštaj. Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,negativan
Samo prking,Kljma u hodniku i malo kupatilo,1,Samo prking Kljma u hodniku i malo kupatilo,negativan
"Ništa,odnos katastrofa slali policijo na mene..",Ništa.,1,"Ništa,odnos katastrofa slali policijo na mene.. Ništa.",negativan
