positive,negative,rating
"Osoblje,higijena,smestaj sve na visokom nivou.
Tako da sledeci boravak u Bg.samo kod vas",,10
"Odličan, prostran i udoban apartman, super lokacija, ima svoj parking. Sve preporuke.",,10
"Odlična lokacija, vrhunski opremljeni apartmani!",,10
"Odlicna lokacija, izuzetno uredno i cisto. Vrlo komforan porodicni apartman. Pohvale za ljubazno osoblje, posebno hvala gospodjici Isidori.
Sve preporuke.",Ulaz u garazu moze biti problematican za niza auta.,10
"Odlična lokacija, čisto i udobno,pohvale",,10
Uvijek na visini zadatka.,"Gosti u apartmanu iznad mog su pravili haos do jutra, pa se nije moglo odmoriti. Ali to nije problem do objekta.",8
"Velicina prostora, udobnost","Centralno grejanje u nasem apartmanu nije radilo, iako su cevi do radijatora bile tople, radijatori su bili hladni pa smo se grejali na klimu. masina za sudove nije radila.",9
"Usluga i smestaj za sve pohvale.
Devojke na recepciji su jako fine i profesionalne. Cistoca top. Sve nam je bilo blizu i definitivno cemo doci opet.",,10
Lokacija je odlična.,Nema lift,9
Apsolutno sve! Od osoblja do jedinice. Čistoca na prvom mestu. Veliki prostor. Novo.,Nemam zamerki! Po prvi put...,10
"Preporuka za profesionalnost i uslugu!
Apartmani koji se nalaze u centru Beograda, čistoća i odlična cena.
Svakako da naglasim i sve pohvale za uslugu transfera .
Vidimo se opet uskoro!!",,10
"Sve pohvale za apartman. Higijena na zavidnom nivou. Lokacija savršena,bukvalno vam je sve na dohvat ruke. Sve pohvale za osoblje na recepciji koji su tu za vas 24 sata. Rado ću opet da se vratim. I preporuka za sve one koje žele savršen odmor i uživanje.",,10
Sve ..,,10
"Sve je izvanredno, osoblje, smestaj, cistoca, udobnost i prostranost. Uvek cu se rado vratiti.",,10
"Izuzetno cisto, apartman opremljen sa svim sto je potrebno, lokacija izvanredna",Problem s tusem na kojem je teko regulisati toplotu vode,10
"Prostrana jedinica, ima sve sto je potrebno od sadrzaja.
Cisto i udobno",Cena moze biti malo povoljnija,9
Lokacija,"Taman, poluuredno, u trosed smo nasli stravi od predhodnih vlasnika, posteljina iscepana.",7
"Lokacija, velicina apartmana, enterijer je ok, ali ne i u skladu sa cenom.","1. Cistoca - povedite racuna o cistoci kupatila
2. zaposlena je naplatila boravisnu taksu samo zato sto ne zna a ocita licnu kartu - misli da je ocitavanje isto sto i skeniranje, ne zna za pojam ""ocitati licnu kartu"" (adresa sa cipa je iz Beograda i taksa nije podlozna placanju samim tim, pa je imala komentar ""jel vam skupo da platite taksu"" - nije poenta u ceni vec poznavanju rada i ljubaznosti)
3. Naplata paodrkinga od 10e od uvece do ujutru je neprihvatljiva, narocito sto nije parking u garazi vec je auto bio izlozen na suncu
4. Cena vs kvalitet usluge nije relevantna",6
,"Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",1
Sve je bilo savrseno! Sigurno cemo doci ponovo ❤️,,10
Dorucak je bio ok.,Sve je bilo bozanstveno . ❤️,10
,Slaba klimatizacija sobe,8
Dorucak je bio izuzetan,,9
"Provela sam u Woodlandu noc pre i noc posle svadbe. Osoblje je izuzetno. Dozvolili su da dodje fotograf da nas slika, imali smo ceo Resort na raspolaganju.",,10
Sve je bilo izvrsno. Osoblje je preljubazno. Sigurno ćemo se ponovo vratiti.,,10
Osoblje je izuzetno ljubazno. Sadrzaj resorta je veoma dobar.,,9
bazen je odlican apartman takodje osoblje vrlo korektno pozicija objekta odlicna sadrzaj dobar,,8
"Interesantna lokacija, rustičnim stil, dovoljno prostora","Paučina, prašina, neudoban dušek. Tokom noći nije bilo vode.",5
"Dorucak je odlican, bogat, lepo spremljen uvek, osoblje je jako ljubazno i zeli da izadje u susret. Sobe su kada se dodje uredne, posteljina koju gosti dobiju je cista, ima peskira, bade mantila, peskira za bazen. Bazen izgleda divno, danju a i nocu sa osvetljenjem. Hrana je generalno odlicna.","Bazen je bio prehladan, svakoga dana, neocekivano za letnji period sa jakim vrucinama. Vodokotlic radi na gurku, nije da ne radi ali mora da se pogura sa premestanjem i pozicioniranjem. Vikendom su zurke i to je lepo napisano i najavljeno ali izgleda da su i radnim danima, jedno vece je bilo do 1 i ne toliko glasno, dok je na primer u sredu bilo jako glasno sa ekipom mladih ljudi koji su pustali muziku i drali se do 04. Nije zahvalno za radni odmor. Niko nije menjao posteljinu, peskire, sredjivao sobu, iznosio djubre, to izgleda da je izostavljeno skroz iz usluge.",7
"Predivni domaćini, predivni objekti, čisto, udobno, sređeno, fenomenalno za decu. O pogledu i prirodi da ne pričamo...",,10
"Sve nam se dopalo, ljubazni domaćini, ukusan doručak, sadržaji za decu, lokacija...ocena od nas je 10+ 
Preporuka svima, vratićemo se kad-tad ponovo 🙂👍",,10
Sve je fenomenalno! Gostoprimstvo domacina je za svaku pohvalu. Mozete da porucite dorucak ako zelite i domacini prave pravi domacinski dorucak.,Nema zamerki.,10
"Izuzetno ljubazni domaćini, odlučna lokacija, divan pogled.",,10
"Jako ljubazni i srdačni domaćini, gostoprimstvo na najvišem nivou. Odlično mesto za odmor i uživanje u prirodi. Sve pohvale i preporuke!",,10
